num,indID,mat,pop,lat,lon,state,region,pc1,trt,blockNum,blockID,nigrescens,bolted,dryWeight,stemHeight,stemWidth,closedCap,openCap,numSeed,numSeedCap,leafFreshWt,leafTurgWt,leafDryWt,RWC,boltDate,flowerDate,boltJulian,boltExpDays,flowerJulian,flowerExpDays,chlor_1,chlor_2,chlor_3,chlor_4,chlor_5,chlor_6,chlor_7,chlor_8
32,DR-4-2,DR-4,DR,43.655301,-123.333033,OR,US,4.200970886,C,C3,C3-2,0,1,27.48,58,3.66,8,11,4,2,0.72,0.91,0.12,75.94936709,5/17/2022,6/22/2022,137,8,173,44,37.6,45,51.7,52.6,42.3,50,43.6,42.8
33,SP4-1-2,SP4-1,SP4,43.025217,-5.825167,SP,EU,0.434514309,C,C3,C3-3,0,1,26.47,50.6,4.43,12,3,67,2,0.44,0.48,0.08,90,5/17/2022,6/15/2022,137,8,166,37,47.9,48.1,55,54.2,46.7,48.9,50.1,44.2
34,LUX1-3-2,LUX1-3,LUX1,49.61855,6.1393,LUX,EU,-1.721640374,C,C3,C3-4,0,1,26.15,51.5,4.19,23,2,31,2,0.74,0.87,0.15,81.94444444,5/16/2022,6/18/2022,136,7,169,40,45.5,44.8,46.1,47,43,47.7,50.7,47.9
35,DR-1-1,DR-1,DR,43.655301,-123.333033,OR,US,4.200970886,C,C3,C3-5,0,1,25.27,44.2,4.42,15,3,0,2,0.94,1.11,0.18,81.72043011,5/25/2022,6/26/2022,145,16,177,48,45,43.8,42.8,44.2,40.7,52.1,50,51.7
36,JC-17-3,JC-17,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C3,C3-6,0,1,28.73,50.5,4.39,23,4,38,2,0.51,0.54,0.08,93.47826087,5/15/2022,6/16/2022,135,6,167,38,39.9,39,46.8,49.9,46.8,49.3,44.7,38.8
37,TR-10-3,TR-10,TR,48.94619,-122.35244,WA,US,1.179044273,C,C3,C3-7,0,1,27.79,63.7,3.59,40,3,0,2,0.75,0.82,0.14,89.70588235,5/16/2022,6/20/2022,136,7,171,42,41.6,43.3,42.7,41.7,37.2,43.4,42.5,41.2
38,GER4-2-4,GER4-2,GER4,48.624617,8.640133,GER,EU,-2.434491549,C,C3,C3-8,0,0,22.66,NA,NA,NA,NA,NA,NA,0.62,0.76,0.11,78.46153846,NA,NA,NA,NA,NA,NA,46.4,47.3,51,44.6,45.9,42.3,39.8,47.3
39,DR-4-4,DR-4,DR,43.655301,-123.333033,OR,US,4.200970886,C,C3,C3-9,0,1,26.51,66.4,3.65,18,2,44,2,0.89,0.98,0.17,88.88888889,5/17/2022,6/19/2022,137,8,170,41,49.5,57.4,49.4,47.5,55,47.4,54.9,56.4
40,JC-14-4,JC-14,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C3,C3-10,0,1,24.28,49.6,3.76,2,0,0,0,0.37,0.42,0.06,86.11111111,6/22/2022,NA,173,44,NA,NA,40.2,44.5,47.3,47.6,48.7,50.8,46.8,44.4
41,AP-2-1,AP-2,AP,45.80877,-121.27622,WA,US,2.000652915,C,C3,C3-11,0,1,23.15,33.2,3.07,14,5,37,2,0.25,0.32,0.03,75.86206897,5/15/2022,6/8/2022,135,6,159,30,45.9,46.8,51.5,44.7,48,43.8,45,50.3
42,TR-7-3,TR-7,TR,48.94619,-122.35244,WA,US,1.179044273,C,C3,C3-12,0,1,20.5,16.9,3.64,21,1,0,1,0.89,0.93,0.14,94.93670886,5/17/2022,NA,137,8,NA,NA,51.3,50.7,50.8,48.8,55.2,59.6,51.4,52
43,SE-15-3,SE-15,SE,42.27916,-123.641852,OR,US,4.77412624,C,C3,C3-13,0,1,27.49,59.3,3.65,17,2,33,2,0.31,0.44,0.06,65.78947368,5/12/2022,6/13/2022,132,3,164,35,39.8,34.3,39.7,36.5,36.3,38.8,42.2,41.5
44,JC-15-3,JC-15,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C3,C3-14,0,1,25.81,60.5,5.26,23,1,0,1,0.32,0.46,0.06,65,5/17/2022,NA,137,8,NA,NA,47,51.3,57.9,47.9,48,43.4,50.4,50.8
45,BJ-1-1,BJ-1,BJ,48.789608,-122.463926,WA,US,1.005059733,C,C3,C3-15,0,0,24.8,NA,NA,NA,NA,NA,NA,1.03,1.17,0.18,85.85858586,NA,NA,NA,NA,NA,NA,41.5,41.1,44.5,40.1,44.3,37.7,35.7,38.6
46,SP5-13-4,SP5-13,SP5,42.938767,-5.270633,SP,EU,-0.060749591,C,C4,C4-1,0,1,20.48,32.1,2.61,5,9,4,2,0.54,0.61,0.09,86.53846154,5/17/2022,6/17/2022,137,8,168,39,56.4,55.4,60,57.2,45.9,59.5,61.8,53.5
47,TR-12-1,TR-12,TR,48.94619,-122.35244,WA,US,1.179044273,C,C4,C4-2,0,0,19.82,NA,NA,NA,NA,NA,NA,0.93,1,0.15,91.76470588,NA,NA,NA,NA,NA,NA,32.3,37.9,44.7,47.5,44.9,44.6,37.8,41.3
48,WC-1-2,WC-1,WC,47.241995,-120.696261,WA,US,-0.008288374,C,C4,C4-3,0,1,21.83,48.4,3.38,3,5,6,2,0.34,0.35,0.06,96.55172414,5/27/2022,6/26/2022,147,18,177,48,25.2,31.8,39.5,39.6,31.4,35.7,35.5,36.5
49,SE-15-1,SE-15,SE,42.27916,-123.641852,OR,US,4.77412624,C,C4,C4-4,0,1,27.56,51.6,4.22,27,11,63,2,0.59,0.74,0.16,74.13793103,5/10/2022,6/13/2022,130,1,164,35,47.3,42.5,34.3,38.2,35.4,43.7,42.6,41
50,SE-14-1,SE-14,SE,42.27916,-123.641852,OR,US,4.77412624,C,C4,C4-5,0,1,26.71,36.7,3.68,28,12,26,2,0.91,0.97,0.14,92.77108434,5/13/2022,6/13/2022,133,4,164,35,40.2,39,42.8,36.7,36.4,39.4,44.4,40.4
51,AP-14-1,AP-14,AP,45.80877,-121.27622,WA,US,2.000652915,C,C4,C4-6,0,1,24.26,51.9,3.58,10,4,4,2,0.42,0.52,0.09,76.74418605,5/15/2022,6/24/2022,135,6,175,46,45.4,50.3,48.1,51.6,50.5,54.6,49.2,45.3
52,HL-13-5,HL-13,HL,45.909633,-122.616945,WA,US,3.617706732,C,C4,C4-7,0,0,21.18,NA,NA,NA,NA,NA,NA,1.46,1.53,0.25,94.53125,NA,NA,NA,NA,NA,NA,41.3,38.3,44.4,42.7,38.4,35.5,34.7,35
53,GER4-13-1,GER4-13,GER4,48.624617,8.640133,GER,EU,-2.434491549,C,C4,C4-8,0,0,20.6,NA,NA,NA,NA,NA,NA,1.03,1.1,0.2,92.22222222,NA,NA,NA,NA,NA,NA,43.4,47.4,47.1,47.2,44.8,40.4,41.7,42.5
54,NOR5-5-3,NOR5-5,NOR5,59.435433,10.494067,NOR,EU,-3.336593887,C,C4,C4-9,0,0,17.72,NA,NA,NA,NA,NA,NA,1.16,1.23,0.21,93.1372549,NA,NA,NA,NA,NA,NA,49.3,49.4,52.2,54.8,48.4,50.4,46.4,47.4
55,SP4-8-1,SP4-8,SP4,43.025217,-5.825167,SP,EU,0.434514309,C,C4,C4-10,0,1,27.67,39.3,2.26,15,6,30,2,0.76,0.88,0.17,83.09859155,5/9/2022,6/12/2022,129,0,163,34,40.6,44.6,46.2,47.8,44.6,43.3,44,43.5
56,HL-1-2,HL-1,HL,45.909633,-122.616945,WA,US,3.617706732,C,C4,C4-11,0,1,23.98,41.4,2.85,17,13,18,2,0.44,0.42,0.07,105.7142857,5/9/2022,6/8/2022,129,0,159,30,44.2,48.8,44.8,44.3,47.5,41.7,36.4,40.4
57,FR3-17-2,FR3-17,FR3,45.406583,5.42325,FR,EU,-1.632805986,C,C4,C4-12,1,1,25.86,79.2,3.6,8,7,0,2,0.76,0.81,0.16,92.30769231,5/13/2022,6/21/2022,133,4,172,43,45.9,54.7,51.1,53.6,49.1,47.6,41.6,46.2
58,AP-2-2,AP-2,AP,45.80877,-121.27622,WA,US,2.000652915,C,C4,C4-13,0,1,24.02,40.7,2.63,4,7,0,0,0.48,0.49,0.09,97.5,5/23/2022,6/16/2022,143,14,167,38,52.1,49.3,50.4,48.3,47.2,52.3,49.2,47.1
59,JC-1-4,JC-1,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C4,C4-14,0,1,27.11,72.8,4.57,22,1,0,1,0.51,0.55,0.07,91.66666667,5/24/2022,NA,144,15,NA,NA,29,40,43.4,46.6,46.7,46.4,49.1,49.7
60,HO-11-6,HO-11,HO,44.224196,-123.511671,OR,US,4.323314778,C,C4,C4-15,0,1,20.93,39.5,2.8,6,5,3,1,0.65,0.75,0.12,84.12698413,5/18/2022,6/26/2022,138,9,177,48,37.1,36.7,50.1,50,46.3,49.1,46,39.2
61,NOR2-7-1,NOR2-7,NOR2,59.206117,10.37815,NOR,EU,-3.234658892,C,C5,C5-1,0,0,17.36,NA,NA,NA,NA,NA,NA,0.66,0.72,0.15,89.47368421,NA,NA,NA,NA,NA,NA,38,35.1,36.4,37.2,38.1,41.2,39.5,38.5
62,FR3-8-6,FR3-8,FR3,45.406583,5.42325,FR,EU,-1.632805986,C,C5,C5-2,1,1,23.86,60.6,4.74,9,5,0,2,0.99,1.13,0.23,84.44444444,5/17/2022,6/20/2022,137,8,171,42,35.7,33.2,40.1,41.7,36.9,38.1,35.4,36.5
63,JC-17-1,JC-17,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C5,C5-3,0,1,25.59,46.6,3.37,22,13,17,2,0.48,0.54,0.09,86.66666667,5/13/2022,6/13/2022,133,4,164,35,50.4,52.2,49.7,50.9,48,42.6,44.7,45.3
64,SP2-12-3,SP2-12,SP2,43.536733,-6.520533,SP,EU,2.178756034,C,C5,C5-4,0,1,22.2,46.9,3.45,6,8,14,2,0.24,0.27,0.06,85.71428571,5/13/2022,6/5/2022,133,4,156,27,39.2,37.4,40.3,38.9,33.4,38.6,41.5,37.2
